manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
apple,"
لب تاپ اپل مک بوک ایر مدل ام دی 761
","
MacBookAir-MD761B
","71,549,000 تومان","71,699,000 تومان",17 * 277 * 325 میلی‌متر,1.35 کیلوگرم,,13 اینچ,High-Resolution Widescreen LED-Backlit Glossy Display,900 * 1440,INTEL,Core i5,i5-4260U,1.4 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,HD Graphics 5000,,1186
apple,"
لپ تاپ 13 اینچی اپل مدل MacBook Air CTO 2017 
","
MacBook Air CTO Z0UU i7 8GB 128GB 13.3 inch Laptop
","11,900,000 تومان","12,000,000 تومان",17 * 227 * 325 میلیمتر,1.35 کیلوگرم,مک‌بوک,13.3 اینچ,TFT LED-backlit LCD,900 * 1440,INTEL,Core i7,2.2 گیگا هرتز,3.2 گیگاهرتز,,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,HD Graphics 6000,,70580
apple,"
لپ تاپ اپل مک بوک ایر مدل MRE82
","
MacBook Air 2018 MRE82 13.3 inch with Retina Display Laptop
","14,450,000 تومان","18,399,000 تومان",305 * 15 * 305 میلیمتر,1.25 کیلوگرم,مک‌بوک,13.3 اینچ,IPS,1600 * 2560,INTEL,Core i5,1.6 گیگاهرتز,3.6 گیگاهرتز,,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,UHD Graphics 617,,68245
apple,"
لپ تاپ اپل مک بوک ایر مدل MREE2
","
MacBook Air 2018 MREE2 13.3 inch with Retina Display Laptop
","15,930,000 تومان","16,030,000 تومان",305 * 15 * 305 میلیمتر,1.25 کیلوگرم,مک‌بوک,13.3 اینچ,IPS,1600 * 2560,INTEL,Core i5,1.6 گیگاهرتز,3.6 گیگاهرتز,,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,UHD Graphics 617,,68246
apple,"
لپ تاپ 13 اینچی اپل مدل MacBook Pro MWP42 2020 Core i5 10th همراه با تاچ بار
","
MacBook Pro MWP42 2020 Core i5 10th 13 inch with Touch Bar and Retina Display Laptop
","21,784,000 تومان","21,899,000 تومان",15 * 212 * 304 میلیمتر,1.4 کیلوگرم,مک‌بوک,13.3 اینچ,LED-backlit display with IPS technology,1600 * 2560,INTEL,Core i5,2.0 گیگا هرتز,3.8 گیگاهرتز,,16 گیگابایت,DDR4,512 گیگابایت,SSD,Intel,Intel Iris Plus,,109614
apple,"
لپ تاپ اپل مک بوک پرو 2019 مدل MUHQ2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2019 MUHQ2 Core i5 13 inch with Touch Bar and Retina Display Laptop
","17,670,000 تومان","72,500,000 تومان",15 * 213 * 305 میلیمتر,1.37 کیلوگرم,مک‌بوک,13.3 اینچ,IPS LCD,1600 * 2560,INTEL,Core i5,1.4 گیگاهرتز,3.9 گیگاهرتز,,8 گیگابایت,2133 مگا هرتز,128 گیگابایت,SSD,AMD,Intel Iris Plus Graphics 645,,74292
apple,"
لپ تاپ اپل مک بوک ایر مدل MREA2
","
MacBook Air 2018 MREA2 13.3 inch with Retina Display Laptop
","32,399,000 تومان","32,499,000 تومان",305 * 15 * 305 میلیمتر,1.25 کیلوگرم,مک‌بوک,13.3 اینچ,IPS,1600 * 2560,INTEL,Core i5,1.6 گیگاهرتز,3.6 گیگاهرتز,,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,UHD Graphics 617,,68247
apple,"
لپ تاپ اپل مک بوک مدل MNYM2
","
MacBook MNYM2 2017 12 inch Laptop
","20,184,000 تومان","20,299,000 تومان",1.31~0.35 * 196.5 * 280.5 ميليمتر,920 گرم,مک‌بوک,12 اینچ,IPS LCD,1440 * 2304,INTEL,Core-M3,1.2 گیگاهرتز,3.0 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,Intel HD Graphics 615,,62977
apple,"
لپ تاپ اپل مک بوک پرو مدل MPXX2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2017 MPXX2 13 inch with Touch Bar and Retina Display Laptop
","18,999,000 تومان","19,199,000 تومان",15 * 213 * 305 میلیمتر,1.3 کیلوگرم,مک‌بوک,13.3 اینچ,IPS LCD,1600 * 2560,INTEL,Core i5,3.1 گیگاهرتز,3.5 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,Iris Plus Graphics 650,,51800
apple,"
لپ تاپ اپل مک بوک پرو مدل MPXW2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2017 MPXW2 13 inch with Touch Bar and Retina Display Laptop
","107,950,000 تومان","108,350,000 تومان",15 * 213 * 305 میلیمتر,1.37 کیلوگرم,مک‌بوک,13.3 اینچ,IPS LCD,1600 * 2560,INTEL,Core i5,3.1 گیگاهرتز,3.5 گیگاهرتز,,8 گیگابایت,DDR3,512 گیگابایت,SSD,Intel,Iris Plus Graphics 650,,51802
