manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
apple,"
لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK1A3 پردازنده M1 Max رم 32GB حافظه 1TB SSD
","
Apple MacBook Pro 16‑inch MK1A3 M1 Max 32GB 1TB SSD Laptop
",17590000,78288000,355x248x168 میلی‌متر,2.2,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Max,M1 Max with 10-core CPU,,,32 گیگابایت,unified memory,1 ترابایت,SSD,Apple,32core GPU16core Neural Engine400GB/s memory bandwidth,,122119
apple,"
لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK1H3 پردازنده M1 Max رم 32GB حافظه 1TB SSD
","
Apple MacBook Pro 16‑inch MK1H3 M1 Max 32GB 1TB SSD Laptop
",16650000,50300000,355x248x168 میلی‌متر,2.2,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Max,M1 Max with 10-core CPU,,,32 گیگابایت,unified memory,1 ترابایت,SSD,Apple,32core GPU16core Neural Engine400GB/s memory bandwidth,,122120
apple,"
MacBook Air اپل 13 اینچ مدل CTO پردازنده M1 رم 16GB حافظه 256GBB SSD خاکستری
","
Apple MacBook Air CTO Gray M1 16GB 256GB SSD 13 inch Laptop
",16474000,16599000,304.1x 212.4 x 16.1 میلی‌متر,1.4,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,2.8 گیگا هرتز,,16 گیگابایت,,256 گیگابایت,SSD,Apple,7core Apple-designed integrated GPU,,123124
apple,"
لپ تاپ اپل 13 اینچ مدل Mac Book Air CTO پردازنده Core i5 رم 16 گیگابایت و حافظه 256 گیگابایت
","
MacBook Air CTO 13.3 inch Core i5 16GB RAM 256GB SSD Retina Display Laptop
",11900000,12000000,305 * 15 * 305 میلیمتر,1.25,مک‌بوک,13.3,IPS,1600 * 2560,INTEL,Core i5,1.1 گیگاهرتز,3.5 گیگاهرتز,,16 گیگابایت,unified memory,256 گیگابایت,SSD,Intel,Intel Iris Plus,,123672
apple,"
MacBook Air اپل 13 اینچ مدل MGQN3 پردازنده M1 رم 16GB حافظه 1TB SSD خاکستری
","
Apple MacBook Air MGQN3 M1 8Core GPU 8CORE 16GB 1TB SSD 13 inch Laptop
",17590000,55380000,304.1x 212.4 x 16.1 میلی‌متر,1.29,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,2.8 گیگا هرتز,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,8core Apple-designed integrated GPU,,124343
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight MLY33  پردازنده M2 رم 8GB حافظه 256GB SSD
","
Apple MacBook Air 2022 Midnight MLY33 M2 8GB 256GB SSD 13.6 inch Laptop
",58000000,27899000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/8core GPU,,,8 گیگابایت,unified memory,256 گیگابایت,SSD,Apple,,,125328
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Starlight MLY13  پردازنده M2 رم 8GB حافظه 256GB SSD
","
Apple MacBook Air 2022 Starlight MLY13 M2 8GB 256GB SSD 13.6 inch Laptop
",28210000,28310000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/8core GPU,,,8 گیگابایت,unified memory,256 گیگابایت,SSD,Apple,,,125329
apple,"
MacBook Air اپل 13 اینچ مدل MGNA3 2020 پردازنده M1 رم 8GB حافظه 512GB SSD
","
Apple MacBook Air MGNA3 2020- 13 inch Laptop
",35594000,35729000,304.1x 212.4 x 16.1 میلی‌متر,1.29,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,512 گیگابایت,SSD,Apple,8core Apple-designed integrated GPU,,114857
apple,"
MacBook Air اپل 13 اینچ مدل MGNE3 2020 پردازنده M1 رم 8GB حافظه 512GB SSD
","
Apple MacBook Air MGNE3 2020- 13 inch Laptop
",63000000,64000000,304.1x 212.4 x 16.1 میلی‌متر,1.29,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,512 گیگابایت,SSD,Apple,8core Apple-designed integrated GPU,,114858
apple,"
MacBook Pro اپل 13 اینچ مدل MYDA2 2020 پردازنده M1 رم 8GB حافظه 256GB SSD
","
Apple MacBook Pro MYDA2 2020 13 inch Laptop
",18169000,18299000,304.1x 212.4 x 15.6 میلی‌متر,1.4,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,256 گیگابایت,SSD,Apple,8core Apple-designed integrated GPU,,114859
