manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
microsoft,"
لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i7-11370H رم 32GB حافظه 2TB SSD گرافیک 4GB RTX3050Ti
","
Surface Laptop Studio 14.4inch Core i7-11370H 32GB 2TB SSD 4GB RTX 3050Ti Touch Laptop
",98500000,99500000,323.28 * 228.32 * 18.94 میلی‌متر,1.8,نوت بوک (لپ تاپ),14.4,PixelSense™ Display,1600 * 2560,INTEL,Core i7,i7-11370H,3.3 گیگاهرتز,12  مگابایت,32 گیگابایت,DDR4,2 ترابایت,SSD,Nvidia Gforce,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,4 گیگابایت,123570
microsoft,"
لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i7-11370H رم 32GB حافظه 1TB SSD گرافیک 4GB RTX3050Ti
","
Surface Laptop Studio 14.4inch Core i7-11370H 32GB 1TB SSD 4GB RTX 3050Ti Touch Laptop
",88300000,88400000,323.28 * 228.32 * 18.94 میلی‌متر,1.8,نوت بوک (لپ تاپ),14.4,PixelSense™ Display,1600 * 2560,INTEL,Core i7,i7-11370H,3.3 گیگاهرتز,12  مگابایت,32 گیگابایت,DDR4,1 ترابایت,SSD,Nvidia Gforce,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,4 گیگابایت,123571
microsoft,"
لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i5-11300H رم 16GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop Studio 14.4inch Core i5-11300H 16GB 512GB SSD Intel Touch Laptop
",75849000,75999000,323.28 * 228.32 * 18.94 میلی‌متر,1.74,نوت بوک (لپ تاپ),14.4,PixelSense™ Display,1600 * 2560,INTEL,Core i5,i5-11300H,3.1 گیگاهرتز,8 مگابایت,16 گیگابایت,DDR4,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,124330
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 16GB حافظه 256GB SSD گرافیک Intel
","
Surface Laptop 4 15inch Core i7-1185G7 16GB 256GB SSD Intel Touch Laptop
",60300000,61300000,339.5 * 244 * 14.7 میلی‌متر,1.54,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,INTEL,Core i7,i7-1185G7,,,16 گیگابایت,DDR4,256 گیگابایت,SSD,Intel, Intel® Iris® Xe,,124421
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 7 4980U رم 8GB حافظه 256GB SSD گرافیک AMD Radeon
","
Surface Laptop 4 15inch Ryzen 7 4980U 8GB 256GB SSD AMD Radeon Touch Laptop
",31199000,32199000,339.5 * 244 * 14.7 میلی‌متر,1.54,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,AMD,Ryzen 7,Ryzen 7 4980U,,,8 گیگابایت,DDR4,256 گیگابایت,SSD,AMD,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,,124772
microsoft,"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 5 رم 16GB حافظه 256GB SSD گرافیک AMD
","
Surface Laptop 4 13.5inch Ryzen 5 4680U 16GB 256GB SSD AMD Touch Laptop
",44090000,44590000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,AMD,Ryzen 5,2.2 گیگا هرتز,4.0 گیگاهرتز,,16 گیگابایت,DDR4,256 گیگابایت,SSD,AMD Radeon ,AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,,125049
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 7 4980U رم 16GB حافظه 512GB SSD گرافیک AMD Radeon
","
Surface Laptop 4 15inch Ryzen 7 4980U 16GB 512GB SSD AMD Radeon Touch Laptop
",47834000,47949000,339.5 * 244 * 14.7 میلی‌متر,1.54,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,,AMD,Ryzen 7,Ryzen 7 4980U,,,16 گیگابایت,DDR4,512 گیگابایت,SSD,AMD,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,,125757
microsoft,"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 32GB حافظه 1TB SSD گرافیک Intel
","
Surface Laptop 4 13.5inch Core i7-1185G7 32GB 1TB SSD Intel Touch Laptop
",73900000,74200000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7-1185G7,,,32 گیگابایت,DDR4,1 ترابایت,SSD,Intel, Intel® Iris® Xe,,122456
microsoft,"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 16GB حافظه 256GB SSD گرافیک Intel
","
Surface Laptop 4 13.5inch Core i7-1185G7 16GB 256GB SSD Intel Touch Laptop
",69300000,70300000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7-1185G7,,,16 گیگابایت,DDR4,256 گیگابایت,SSD,Intel, Intel® Iris® Xe,,122457
microsoft,"
لپ تاپ 13.5 اینچی مایکروسافت مدل Surface Laptop 5 پردازنده Core i7-1255U رم 16GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 5 13.5inch Core i7-1255U 16GB 512GB SSD Intel Touch Laptop
",78900000,67999000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7-1255U,3.5 گیگاهرتز,12  مگابایت,16 گیگابایت,DDR5,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,129867
