name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory
"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i5-1135G7 رم 8GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 4 13.5inch Core i5-1135G7 8GB 512GB SSD Intel Touch Laptop
","30,230,000 تومان","63,599,000 تومان",308x223x14.5 میلی‌متر,1.2 کیلوگرم,نوت بوک (لپ تاپ),13.5 اینچ,PixelSense™ Display,2256 * 1504,INTEL,Core i5,i5-1135G7,,,8 گیگابایت,DDR4,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,
"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 5 رم 8GB حافظه 256GB SSD گرافیک AMD
","
Surface Laptop 4 13.5inch Ryzen 5 4680U 8GB 256GB SSD AMD Touch Laptop
","46,338,000 تومان","47,338,000 تومان",308x223x14.5 میلی‌متر,1.2 کیلوگرم,نوت بوک (لپ تاپ),13.5 اینچ,PixelSense™ Display,2256 * 1504,AMD,Ryzen 5,2.2 گیگا هرتز,4.0 گیگاهرتز,,8 گیگابایت,DDR4,256 گیگابایت,SSD,AMD Radeon ,AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,
"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 32GB حافظه 1TB SSD گرافیک Intel
","
Surface Laptop 4 13.5inch Core i7-1185G7 32GB 1TB SSD Intel Touch Laptop
","80,300,000 تومان","81,300,000 تومان",308x223x14.5 میلی‌متر,1.2 کیلوگرم,نوت بوک (لپ تاپ),13.5 اینچ,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7-1185G7,,,32 گیگابایت,DDR4,1 ترابایت,SSD,Intel, Intel® Iris® Xe,
"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i7-1185G7 رم 16GB حافظه 256GB SSD گرافیک Intel
","
Surface Laptop 4 13.5inch Core i7-1185G7 16GB 256GB SSD Intel Touch Laptop
","41,730,000 تومان","35,433,000 تومان",308x223x14.5 میلی‌متر,1.2 کیلوگرم,نوت بوک (لپ تاپ),13.5 اینچ,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7-1185G7,,,16 گیگابایت,DDR4,256 گیگابایت,SSD,Intel, Intel® Iris® Xe,
"
لپ تاپ مایکروسافت 13 اینچ مدل Surface Book 2 پردازنده Core i7 رم 8GB هارد 256GB گرافیک 2GB با صفحه نمایش لمسی
","
Surface Book 2 Core i7 8GB 256GB 2GB 13inch Touch
","45,833,000 تومان","46,833,000 تومان",23~13 * 232 * 312 ميلي‌متر,1.53 کیلوگرم,نوت بوک (لپ تاپ),13.5 اینچ,PixelSense™ Display,2000 * 3000,INTEL,Core i7,i7-8650U,1.9 گیگاهرتز,8 مگابایت,8 گیگابایت,DDR3,256 گیگابایت,SSD,Nvidia Gforce,GeForce® GTX 1050 GDDR5,2 گیگا بایت
"
لپ تاپ 16 اینچی اچ پی مدل OMEN 16 C0002dx - A پردازنده Ryzen 7 5800H رم 16GB حافظه 1TB SSD گرافیک 8GB
","
OMEN 16 C0002dx - A Ryzen 7 5800H 16GB 1TB SSD 8GB RX6600M Full HD IPS Laptop
","35,594,000 تومان","35,729,000 تومان",369x248x23 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS,1080 * 1920 ,AMD,Ryzen 7,Ryzen 7 5800H,3.2 گیگاهرتز,16 مگابایت,16 گیگابایت,DDR4,1 ترابایت,SSD,AMD Radeon ,Radeon RX6600M GDD6,8 گیگا بایت
"
لپ تاپ 16 اینچی اچ پی مدل OMEN 16 C0002dx - B پردازنده Ryzen 7 5800H رم 32GB حافظه 1TB SSD گرافیک 8GB
","
OMEN 16 C0002dx - B Ryzen 7 5800H 32GB 1TB SSD 8GB RX6600M Full HD IPS Laptop
","40,000,000 تومان","41,000,000 تومان",369x248x23 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS,1080 * 1920 ,AMD,Ryzen 7,Ryzen 7 5800H,3.2 گیگاهرتز,16 مگابایت,32 گیگابایت,DDR4,1 ترابایت,SSD,AMD Radeon ,Radeon RX6600M GDD6,8 گیگا بایت
"
لپ تاپ 16 اینچی اچ پی مدل OMEN 16 B0001 - A پردازنده Core i7 رم 16GB حافظه 1TB SSD گرافیک 8GB 3070
","
OMEN 16 B0001 - A Core i7 11800H 16GB 1TB SSD 8GB 3070 Full HD IPS Laptop
","47,280,000 تومان","47,380,000 تومان",369x248x23 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS,1080 * 1920 ,INTEL,Core i7,i7-11800H,2.3 گیگا هرتز,24 مگابایت,16 گیگابایت,DDR4,1 ترابایت,SSD,Nvidia,GeForce RTX 3070 GDDR6,8 گیگا بایت
"
لپ تاپ 16 اینچی اچ پی مدل OMEN 16 B0001 - B پردازنده Core i7 رم 32GB حافظه 1TB SSD گرافیک 8GB 3070
","
OMEN 16 B0001 - B Core i7 11800H 32GB 1TB SSD 8GB 3070 Full HD IPS Laptop
","52,000,000 تومان","38,700,000 تومان",369x248x23 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS,1080 * 1920 ,INTEL,Core i7,i7-11800H,2.3 گیگا هرتز,24 مگابایت,32 گیگابایت,DDR4,1 ترابایت,SSD,Nvidia,GeForce RTX 3070 GDDR6,8 گیگا بایت
"
لپ تاپ 16 اینچی اچ پی مدل Spectre x360 16t F1023dx پردازنده Core i7 رم 16GB حافظه 1TB SSD گرافیک 4GB
","
HP Spectre x360 16t F1023dx Core i7 1260P 16GB 1TB 4GB UHD Touch Laptop
","59,500,000 تومان","78,388,000 تومان",355x245x19 میلی‌متر,2.0 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,2160 * 3840,,INTEL,Core i7,2.8 گیگا هرتز,4.8 گیگاهرتز,,16 گیگابایت,DDR4,1 ترابایت,SSD,Intel,Arc A370M - 4GB,4 گیگابایت
"
لپ تاپ 14 اینچی اچ پی مدل Pavilion x360 14t EK1000 پردازنده Core i7 رم 16GB حافظه 1TB SSD گرافیک Intel
","
HP Pavilion x360 14t EK1000 Core i7 1355U 16GB 1TB SSD Intel Full HD Touch Laptop
","47,474,000 تومان","47,599,000 تومان",322x210x17 میلی‌متر,1.5 کیلوگرم,نوت بوک (لپ تاپ),14 اینچ,IPS ,1080 * 1920 ,INTEL,Core i7,i7-1355U,5.0 گیگاهرتز,,16 گیگابایت,DDR4,1 ترابایت,SSD,Intel,Iris Xe Graphics,
"
لپ تاپ 13.5 اینچی اچ پی مدل Spectre x360 14 EF2013dx پردازنده Core i7 رم 16GB حافظه 1TB SSD گرافیک Intel
","
HP Spectre x360 14 EF2013dx Core i7 1355U 16GB 1TB SSD Intel Full HD Touch Laptop
","49,300,000 تومان","49,500,000 تومان",297x220x17 میلی‌متر,1.3 کیلوگرم,نوت بوک (لپ تاپ),13.5 اینچ,IPS ,1080 * 1920 ,INTEL,Core i7,i7-1355U,5.0 گیگاهرتز,,16 گیگابایت,DDR4,1 ترابایت,SSD,Intel,Iris Xe Graphics,
"
لپ تاپ 16 اینچی اچ پی مدل ENVY 16 H1023dx - C پردازنده Core i9 رم 32GB حافظه 2TB SSD گرافیک 8GB
","
HP ENVY 16 H1023dx - C Core i9 13900H 32GB 2TB SSD 8GB QHD Touch Laptop
","117,000,000 تومان","119,000,000 تومان",358x252x19 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS ,1600 * 2560,INTEL,Core i9,5.0 گیگاهرتز,24 مگابایت,,32 گیگابایت,DDR5,2 ترابایت,SSD,Nvidia Gforce,GeForce RTX 4060 GDDR6 - 8GB,
"
لپ تاپ 16 اینچی اچ پی مدل ENVY 16 H1023dx - A پردازنده Core i9 رم 16GB حافظه 1TB SSD گرافیک 8GB
","
HP ENVY 16 H1023dx - A Core i9 13900H 16GB 1TB SSD 8GB QHD Touch Laptop
","73,000,000 تومان","74,000,000 تومان",358x252x19 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS ,1600 * 2560,INTEL,Core i9,5.0 گیگاهرتز,24 مگابایت,,16 گیگابایت,DDR5,1 ترابایت,SSD,Nvidia Gforce,GeForce RTX 4060 GDDR6 - 8GB,8 گیگا بایت
"
لپ تاپ 16 اینچی اچ پی مدل ENVY 16 H1023dx - B پردازنده Core i9 رم 32GB حافظه 1TB SSD گرافیک 8GB
","
ENVY 16 H1023dx - B Core i9 13900H 32GB 1TB SSD 8GB QHD Touch Laptop
","106,999,000 تومان","64,300,000 تومان",358x252x19 میلی‌متر,2.3 کیلوگرم,نوت بوک (لپ تاپ),16 اینچ,IPS ,1600 * 2560,INTEL,Core i9,5.0 گیگاهرتز,24 مگابایت,,32 گیگابایت,DDR5,1 ترابایت,SSD,Nvidia Gforce,GeForce RTX 4060 GDDR6 - 8GB,
